,매장이름,주소,구,브랜드,위도,경도
0,역삼아레나빌딩,서울특별시 강남구 언주로 425 (역삼동),강남구,스타벅스,37.4748174,127.0600448
1,논현역사거리,서울특별시 강남구 강남대로 538 (논현동),강남구,스타벅스,37.5221061,127.0175013
2,신사역성일빌딩,서울특별시 강남구 강남대로 584 (논현동),강남구,스타벅스,37.5221061,127.0175013
3,국기원사거리,서울특별시 강남구 테헤란로 125 (역삼동),강남구,스타벅스,37.5082638,127.0606999
4,대치재경빌딩R,서울특별시 강남구 남부순환로 2947 (대치동),강남구,스타벅스,37.49462225,127.06276631492824
5,봉은사역,서울특별시 강남구 봉은사로 619 (삼성동),강남구,스타벅스,37.5148197,127.063493
6,압구정윤성빌딩,서울특별시 강남구 논현로 834 (신사동),강남구,스타벅스,37.522873649999994,127.02857242328601
7,코엑스별마당,서울특별시 강남구 영동대로 513 (삼성동),강남구,스타벅스,37.5221283,127.0557289
8,삼성역섬유센터R,서울특별시 강남구 테헤란로 518 (대치동),강남구,스타벅스,37.5082638,127.0606999
9,압구정R,서울특별시 강남구 언주로 861 (신사동),강남구,스타벅스,37.4748174,127.0600448
10,수서역R,서울특별시 강남구 광평로 281 (수서동),강남구,스타벅스,37.4825935,127.0790586
11,양재강남빌딩R,서울특별시 강남구 남부순환로 2621 (도곡동),강남구,스타벅스,37.485271299999994,127.03667786513964
12,선릉동신빌딩R,서울특별시 강남구 테헤란로 409 (삼성동),강남구,스타벅스,37.5082638,127.0606999
13,봉은사로선정릉,서울특별시 강남구 봉은사로 446 (삼성동),강남구,스타벅스,37.5148197,127.063493
14,강남오거리,서울특별시 강남구 봉은사로2길 39 (역삼동),강남구,스타벅스,37.5028453,127.0261846
15,스타필드코엑스몰R,서울특별시 강남구 영동대로 513 (삼성동) 코엑스 A106호,강남구,스타벅스,37.5221283,127.0557289
16,강남구청정문,서울특별시 강남구 학동로 419 (청담동),강남구,스타벅스,37.5199698,127.056947
17,도곡공원,서울특별시 강남구 도곡로 205 (역삼동),강남구,스타벅스,37.49418685,127.049732
18,강남R,서울특별시 강남구 강남대로 390 (역삼동),강남구,스타벅스,37.5221061,127.0175013
19,대치은마사거리,서울특별시 강남구 도곡로 457 (대치동),강남구,스타벅스,37.4989632,127.0602104
20,청담영동대로,서울특별시 강남구 영동대로 720 (청담동),강남구,스타벅스,37.5221283,127.0557289
21,압구정,서울특별시 강남구 압구정로30길 17 (신사동),강남구,스타벅스,37.524714,127.0290956
22,신사가로수,서울특별시 강남구 가로수길 59 ,강남구,스타벅스,37.5209574,127.0229101
23,청담스타R,서울특별시 강남구 도산대로57길 24 (청담동),강남구,스타벅스,37.525243200000006,127.04181394976302
24,강남우성,서울특별시 강남구 강남대로 328 (역삼동),강남구,스타벅스,37.5221061,127.0175013
25,학동사거리,서울특별시 강남구 도산대로 328 (논현동),강남구,스타벅스,37.5214392,127.0337787
26,대치사거리,서울특별시 강남구 삼성로 402 (대치동),강남구,스타벅스,37.5215228,127.0487626
27,포스코사거리,서울특별시 강남구 테헤란로 505 (삼성동) 화진빌딩,강남구,스타벅스,37.5082638,127.0606999
28,을지병원사거리,"서울특별시 강남구 논현로 752 (논현동,구산빌딩)",강남구,스타벅스,37.471318,127.0511927
29,신사역,서울특별시 강남구 도산대로 108 (논현동) 렉스타워,강남구,스타벅스,37.5214392,127.0337787
30,도곡역,서울특별시 강남구 남부순환로 2909 (대치동),강남구,스타벅스,37.49218995,127.05746583355238
31,서울세관사거리,서울특별시 강남구 언주로 650 (논현동) 한국건설기술인협회,강남구,스타벅스,37.4748174,127.0600448
32,청담사거리,서울특별시 강남구 도산대로 458 (청담동) 리츠타워,강남구,스타벅스,37.5238456,127.0467767
33,한티역,"서울특별시 강남구 도곡로 408, 디마크빌딩 101호 (대치동)",강남구,스타벅스,,
